# Logfile created on 2016-10-23 15:01:28 +0000 by logger.rb/44203
[2016-10-23T15:01:28+00:00] INFO: Started chef-zero at chefzero://localhost:8889 with repository at /opt/gitlab/embedded
  One version per cookbook

[2016-10-23T15:01:28+00:00] INFO: Forking chef instance to converge...
[2016-10-23T15:01:28+00:00] INFO: *** Chef 12.6.0 ***
[2016-10-23T15:01:28+00:00] INFO: Chef-client pid: 33
[2016-10-23T15:01:30+00:00] WARN: unable to detect ipaddress
[2016-10-23T15:01:30+00:00] INFO: HTTP Request Returned 404 Not Found: Object not found: chefzero://localhost:8889/nodes/7ffb0bd9015c
[2016-10-23T15:01:30+00:00] INFO: Setting the run_list to ["recipe[gitlab]"] from CLI options
[2016-10-23T15:01:30+00:00] INFO: Run List is [recipe[gitlab]]
[2016-10-23T15:01:30+00:00] INFO: Run List expands to [gitlab]
[2016-10-23T15:01:30+00:00] INFO: Starting Chef Run for 7ffb0bd9015c
[2016-10-23T15:01:30+00:00] INFO: Running start handlers
[2016-10-23T15:01:30+00:00] INFO: Start handlers complete.
[2016-10-23T15:01:30+00:00] INFO: HTTP Request Returned 404 Not Found: Object not found: 
[2016-10-23T15:01:31+00:00] INFO: Loading cookbooks [gitlab@0.0.1, runit@0.14.2, package@0.0.0]
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-rails.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/ci-unicorn_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/database_migrations.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/registry.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/ci-redis.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/remote-syslog_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgresql.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-shell.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/registry_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/add_trusted_certs.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap_disable.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/ci-unicorn.rb in the cache.
[2016-10-23T15:01:31+00:00] INFO: Storing updated cookbooks/gitlab/recipes/selinux.rb in the cache.
